age,sex,educ,income,eastwest
52,Male,4,3500,West
38,Female,4,1200,West
43,Female,2,590,West
51,Male,3,875,West
82,Female,4,700,East
25,Male,4,1000,West
68,Female,2,350,West
70,Male,4,3200,West
64,Female,2,1100,West
77,Female,1,200,West
33,Female,4,2300,West
42,Female,2,1300,West
51,Male,2,3900,West
20,Female,4,1200,West
55,Male,4,2300,East
52,Female,1,1900,West
73,Male,1,2400,West
54,Female,1,563,East
50,Female,4,900,West
51,Female,2,1700,East
19,Male,3,700,West
62,Male,2,2050,West
59,Female,2,1600,West
31,Male,2,2400,West
58,Female,2,700,West
62,Male,2,2875,West
53,Male,2,800,East
74,Male,4,1400,East
83,Male,3,1200,East
83,Female,1,520,West
42,Female,2,4000,West
36,Female,2,650,West
81,Female,2,1100,West
69,Female,2,1400,East
46,Female,2,950,West
35,Female,2,665,East
43,Male,4,3500,East
35,Male,3,2100,East
69,Male,2,1200,East
24,Female,3,600,West
57,Female,2,1000,East
66,Male,4,1300,East
44,Female,3,1500,West
50,Female,4,2300,West
75,Male,2,950,East
36,Female,4,1400,East
69,Male,1,1100,West
72,Male,1,2000,East
86,Female,1,1400,West
46,Male,4,4000,West
50,Male,1,1100,East
34,Female,2,1800,West
33,Female,3,1200,West
57,Male,2,1400,East
60,Male,2,900,West
60,Male,4,2000,West
19,Female,2,950,East
40,Female,4,2200,West
66,Female,2,1000,East
60,Female,2,400,East
56,Female,3,2070,East
64,Male,4,2500,West
61,Male,4,2300,West
47,Female,1,1500,West
78,Male,4,1430,East
36,Female,4,1388,West
56,Female,4,2050,West
35,Female,2,2500,West
28,Male,2,1000,East
82,Female,1,1063,West
62,Male,2,1500,East
42,Male,2,6500,West
52,Male,2,1438,East
57,Female,2,688,West
37,Female,4,1500,East
45,Male,2,1500,East
45,Female,1,800,West
63,Female,2,2875,West
59,Female,3,800,West
55,Male,2,2400,West
36,Male,4,3100,West
87,Male,2,1500,West
43,Male,4,1700,West
48,Male,4,2500,West
63,Male,2,1500,East
39,Male,4,1200,West
83,Male,2,2500,West
32,Male,3,8750,West
60,Female,4,2125,West
45,Male,2,2875,East
25,Male,2,2100,West
30,Male,2,2200,West
78,Female,1,4500,West
67,Female,4,2000,East
91,Female,1,1200,West
37,Male,2,970,West
57,Male,2,460,East
29,Male,4,2400,East
27,Female,4,813,West
21,Female,4,600,East
58,Male,4,3200,East
31,Female,2,900,West
54,Male,2,1400,East
29,Female,4,1800,West
54,Male,2,1200,East
47,Male,3,2700,West
32,Male,1,1063,West
46,Female,2,1375,East
71,Male,2,2300,West
39,Female,4,1200,West
59,Female,1,1150,West
43,Female,2,1600,West
61,Female,1,370,West
57,Male,4,6000,West
67,Female,2,1650,East
34,Male,4,3200,West
68,Male,1,2125,West
97,Female,4,1100,East
46,Male,1,1800,West
57,Male,2,2000,East
31,Male,4,2400,East
52,Female,2,500,East
53,Male,1,1800,West
53,Male,1,1400,West
73,Female,1,820,East
47,Male,1,1235,West
69,Male,2,1250,East
32,Male,4,500,West
46,Male,2,938,West
33,Female,4,2300,West
39,Female,4,1000,East
69,Male,3,3500,West
27,Male,0,750,East
23,Male,4,1500,West
23,Male,2,2211,West
66,Male,1,1800,West
53,Female,3,900,West
64,Female,4,1400,East
48,Male,1,1800,West
73,Female,2,1500,East
31,Female,2,1100,West
44,Female,2,2300,East
78,Male,4,3300,West
52,Female,4,2250,East
80,Female,1,200,West
26,Male,4,1300,West
53,Female,3,1875,East
31,Female,2,1200,East
84,Male,3,1100,West
51,Female,2,896,East
24,Male,4,2100,East
50,Female,2,800,East
68,Male,4,4500,West
51,Male,0,400,East
64,Female,1,1009,West
48,Female,2,2400,East
63,Male,2,800,East
64,Female,2,1500,West
66,Female,2,1000,East
82,Male,1,1063,East
50,Male,2,6250,West
67,Female,2,688,East
29,Male,2,1500,West
52,Male,4,7300,West
67,Male,2,1100,East
32,Male,2,2300,West
57,Male,4,950,West
79,Female,1,630,East
32,Female,4,1750,East
48,Male,2,3000,West
78,Female,1,500,East
40,Female,4,450,West
25,Male,4,2100,West
51,Female,4,3500,West
29,Male,2,2600,West
19,Female,4,470,West
46,Male,2,1450,East
29,Female,4,1300,East
67,Male,2,1500,West
44,Female,1,1100,West
69,Female,2,524,West
26,Male,2,1500,East
63,Male,2,2400,West
27,Female,4,450,East
51,Male,2,1500,West
62,Male,4,3500,West
83,Female,4,800,West
47,Female,2,758,West
32,Female,4,1200,West
58,Female,3,860,East
72,Female,2,1400,East
40,Female,2,192,West
49,Male,4,2000,West
53,Female,2,500,East
32,Female,3,1900,West
36,Male,1,2100,West
46,Female,1,450,West
44,Male,1,1800,West
77,Male,1,1200,East
79,Male,1,1800,West
64,Female,2,1100,East
50,Female,1,650,West
73,Male,4,2500,East
49,Male,2,1300,West
67,Female,2,1300,East
30,Female,3,1625,West
64,Female,1,500,West
72,Male,2,1830,East
43,Male,4,3600,West
77,Male,1,1050,East
57,Female,2,1313,West
48,Male,1,2650,West
75,Male,4,3000,West
35,Male,1,650,East
22,Male,4,450,West
79,Male,1,1600,West
77,Male,4,1438,East
74,Female,1,1100,West
54,Male,2,1400,East
78,Male,1,1600,West
53,Male,1,2400,West
55,Female,2,1800,West
35,Male,0,1300,West
29,Male,2,1100,East
72,Male,4,1500,East
74,Female,1,1800,West
53,Female,2,1200,East
75,Female,2,1200,West
47,Female,4,3500,West
